x,y,class
26.750,22.150,1
29.800,22.150,1
31.550,21.100,1
27.700,20.850,1
29.900,19.950,1
26.800,19.050,1
28.350,18.250,1
30.400,17.850,1
27.250,16.700,1
29.050,16.000,1
27.150,14.850,1
28.200,13.950,1
30.350,13.850,1
27.250,11.950,1
29.450,12.050,1
31.550,12.200,1
33.050,10.650,1
29.950,9.850,1
28.000,9.750,1
27.150,7.850,1
29.150,8.100,1
31.950,8.600,1
34.700,8.550,1
34.800,12.250,1
36.300,15.250,1
36.600,13.200,1
38.700,14.250,1
40.300,15.500,1
42.250,14.250,1
40.700,12.800,1
38.600,12.100,1
36.100,10.500,1
38.350,10.400,1
37.650,8.400,1
40.150,8.550,1
40.800,10.650,1
42.900,11.250,1
41.950,8.500,1
42.450,17.450,1
40.250,18.450,1
42.550,19.450,1
40.950,20.650,1
42.250,22.150,1
38.850,22.400,1
38.400,20.000,1
35.250,20.200,1
33.250,21.000,1
34.150,22.350,1
35.550,22.500,1
36.550,21.400,1
33.350,19.600,2
32.850,19.550,2
32.400,19.150,2
32.450,18.700,2
32.800,18.900,2
33.200,19.200,2
33.700,19.050,2
33.400,18.750,2
33.050,18.500,2
32.800,18.200,2
34.000,18.700,2
33.850,18.250,2
33.350,18.150,2
32.800,17.700,2
33.150,17.550,2
33.750,17.750,2
34.150,17.850,2
34.350,18.350,2
34.950,18.500,2
34.750,18.050,2
35.150,18.050,2
35.650,18.150,2
35.450,18.700,2
36.050,18.750,2
36.250,18.200,2
36.600,18.700,2
37.100,18.500,2
36.750,18.100,2
37.650,18.300,2
37.150,17.850,2
37.650,17.750,2
38.050,18.100,2
38.450,17.700,2
38.800,17.300,2
38.200,17.250,2
38.600,16.800,2
38.250,16.350,2
37.900,16.850,2
37.500,17.300,2
37.650,16.400,2
37.150,16.700,2
37.000,17.150,2
36.600,17.400,2
36.150,17.550,2
35.750,17.650,2
36.600,16.900,2
36.050,16.950,2
35.450,17.000,2
35.300,17.550,2
34.900,17.000,2
34.750,17.450,2
34.300,17.350,2
34.300,16.800,2
33.900,17.200,2
33.350,17.050,2
32.850,16.950,2
33.550,16.600,2
34.000,16.400,2
32.450,17.200,2
32.100,16.850,2
31.700,16.650,2
31.200,16.350,2
30.950,15.750,2
31.150,15.350,2
31.450,15.100,2
31.750,14.700,2
32.150,14.350,2
32.650,14.150,2
33.150,14.050,2
33.800,13.900,2
34.350,14.200,2
34.300,14.850,2
34.050,15.350,2
33.900,15.950,2
33.350,16.050,2
33.000,16.500,2
32.450,16.600,2
31.950,16.250,2
31.500,15.850,2
31.750,15.400,2
32.150,15.800,2
32.550,16.100,2
32.900,15.700,2
32.550,15.400,2
32.050,15.200,2
32.500,14.800,2
33.000,15.250,2
33.500,15.600,2
33.600,15.050,2
32.900,14.700,2
33.300,14.500,2
33.800,14.500,2
9.200,22.350,3
10.900,22.350,3
12.450,22.300,3
13.950,22.050,3
14.650,20.300,3
13.150,20.800,3
11.600,20.950,3
10.250,21.250,3
9.200,20.800,3
8.050,21.550,3
7.150,19.900,3
8.550,20.000,3
8.500,19.200,3
7.350,18.300,3
8.250,16.650,3
8.950,18.000,3
9.600,18.850,3
9.650,19.750,3
10.200,20.250,3
10.900,20.300,3
12.150,20.000,3
11.250,19.750,3
10.800,19.600,3
10.400,19.550,3
10.650,19.350,3
10.300,19.150,3
10.950,19.100,3
10.600,18.850,3
10.050,18.100,3
10.350,16.900,3
10.050,15.900,3
11.150,18.100,3
12.100,18.750,3
13.200,19.200,3
11.500,17.100,3
12.650,17.650,3
14.450,18.350,4
13.900,16.700,3
12.600,15.800,3
15.950,20.750,4
16.950,21.600,4
17.900,21.950,4
19.000,22.700,4
20.450,22.750,4
19.100,21.700,4
20.400,21.400,4
21.950,21.900,4
18.650,20.700,4
17.750,20.550,4
17.050,19.850,4
15.750,19.450,4
15.750,18.250,4
16.350,16.900,4
17.200,15.900,4
17.900,17.000,4
17.300,17.750,4
17.000,18.900,4
17.800,18.650,4
17.850,19.500,4
18.500,19.900,4
19.100,19.950,4
19.550,20.550,4
20.100,19.900,4
19.550,19.300,4
18.950,19.300,4
18.550,19.200,4
18.450,18.850,4
18.850,18.900,4
19.200,18.800,4
18.750,18.550,4
18.300,18.100,4
19.100,17.800,4
19.000,16.750,4
18.750,15.500,4
19.650,18.200,4
20.100,18.950,4
21.250,20.400,4
21.450,19.000,4
20.900,17.900,4
20.250,17.200,4
20.100,15.400,4
21.400,15.950,4
22.200,17.150,4
11.400,12.550,5
12.050,12.750,5
12.700,13.000,5
13.350,13.050,5
14.200,12.950,5
15.050,12.950,5
15.600,12.950,5
16.100,13.100,5
15.950,12.600,5
15.400,12.450,5
14.650,12.400,5
13.850,12.400,5
13.150,12.200,5
12.650,12.400,5
11.900,12.100,5
12.000,11.500,5
12.650,11.650,5
13.400,11.650,5
14.100,11.700,5
14.600,11.800,5
15.200,11.950,5
15.050,11.550,5
14.450,11.200,5
13.950,10.900,5
13.050,11.100,5
13.550,10.650,5
12.450,10.900,5
13.200,10.250,5
11.250,11.100,5
11.250,11.850,5
10.700,12.250,5
10.050,11.850,5
10.600,11.600,5
9.750,11.350,5
10.400,10.900,5
9.750,10.600,5
9.750,9.800,5
10.350,10.200,5
10.900,10.400,5
11.700,10.550,5
12.400,10.100,5
12.900,9.700,5
12.350,9.650,5
11.850,10.000,5
11.150,9.800,5
10.650,9.550,5
10.100,9.250,5
10.750,9.000,5
11.100,9.300,5
11.700,9.400,5
12.150,9.100,5
12.850,9.050,5
12.450,8.700,5
11.950,8.250,5
11.700,8.850,5
11.300,8.500,5
11.550,7.950,5
12.900,8.500,5
13.250,8.050,5
12.650,7.950,5
12.100,7.600,5
11.650,7.350,5
12.200,7.000,5
11.800,6.650,5
12.650,7.300,5
13.200,7.550,5
13.650,7.750,5
14.350,7.550,5
13.800,7.300,5
13.350,6.850,5
12.700,6.700,5
12.450,6.250,5
13.200,5.850,5
13.650,6.250,5
14.100,6.750,5
14.700,6.900,5
15.000,7.500,5
15.850,7.300,5
15.350,7.050,5
15.100,6.350,5
14.450,6.300,5
14.750,5.750,5
13.950,5.800,5
15.500,5.900,5
15.800,6.400,5
16.050,6.850,5
16.550,7.100,5
16.700,6.500,5
16.250,6.100,5
17.050,6.250,5
15.850,11.550,5
15.900,12.100,5
16.300,11.650,5
16.550,12.050,5
16.500,12.600,5
16.750,13.100,5
17.500,13.000,5
17.150,12.650,5
17.100,12.100,5
16.900,11.700,5
17.400,11.650,5
17.550,12.100,5
17.750,12.650,5
18.300,12.750,5
18.250,12.250,5
18.000,11.950,5
17.850,11.500,5
18.300,11.650,5
18.600,12.000,5
18.850,12.450,5
19.100,11.800,5
18.850,11.450,5
18.500,11.150,5
18.950,10.800,5
19.300,11.150,5
19.400,10.700,5
19.250,10.350,5
19.900,10.600,5
19.650,10.150,5
19.450,9.750,5
19.900,9.450,5
20.300,10.050,5
20.650,10.350,5
21.250,10.100,5
20.900,9.900,5
21.650,9.650,5
21.150,9.350,5
20.500,9.400,5
19.500,9.200,5
19.950,8.850,5
20.650,8.800,5
21.200,8.700,5
21.900,8.850,5
21.750,8.250,5
21.650,7.800,5
21.050,8.000,5
20.300,8.200,5
19.400,8.700,5
19.600,8.050,5
18.950,8.100,5
20.000,7.600,5
20.550,7.550,5
21.250,7.250,5
20.850,6.850,5
20.250,7.050,5
19.550,7.050,5
19.050,7.450,5
18.350,7.600,5
17.850,7.300,5
18.300,7.100,5
18.950,6.850,5
19.600,6.250,5
20.150,6.450,5
18.800,6.250,5
18.350,6.550,5
17.650,6.550,5
17.250,6.900,5
17.950,6.200,5
17.450,9.850,6
17.200,9.250,6
17.000,9.600,6
17.000,10.050,6
16.450,10.100,6
16.500,9.800,6
16.600,9.450,6
16.600,9.050,6
15.900,9.000,6
16.050,9.350,6
16.050,9.650,6
15.850,9.950,6
15.350,9.900,6
15.600,9.450,6
15.300,9.150,6
15.100,9.550,6
